Datetime	hanle_cloud%	merak_cloud%	Hanle pblh merra	Merak pblh merra
2018-01-24 16:05:00	32.889	81.667	0.777	1.021
2018-01-24 17:40:00	84.0	99.2	0.59	0.875
2018-01-24 20:20:00	28.108	87.882	0.341	0.867
2018-01-25 05:45:00	12.598	59.269	1.75	1.697
2018-01-25 07:20:00	21.048	65.641	2.13	2.033
2018-01-25 16:45:00	41.32	99.68	1.209	1.4
2018-01-25 21:05:00	43.172	94.794	1.433	1.467
2018-01-26 04:50:00	58.167	96.667	1.739	1.708
2018-01-26 06:25:00	-99.9	100.0	2.851	2.622
2018-01-26 08:05:00	17.031	80.758	2.86	2.863
2018-01-26 17:30:00	22.5	99.657	0.732	1.04
2018-01-26 20:10:00	17.956	99.83	0.836	0.76
2018-01-27 05:35:00	40.51	71.569	2.682	2.472
2018-01-27 07:10:00	66.167	99.538	2.907	2.863
2018-01-27 08:45:00	-99.9	100.0	2.732	2.864
2018-01-27 08:50:00	-99.9	100.0	2.732	2.864
2018-01-27 16:35:00	20.684	95.368	1.58	1.982
2018-01-27 20:50:00	9.727	88.533	1.226	1.843
2018-01-28 06:15:00	2.933	38.353	2.966	2.777
2018-01-28 07:50:00	5.782	51.677	2.965	2.777
2018-01-28 17:15:00	26.222	55.719	2.016	2.198
2018-01-28 19:55:00	25.733	55.167	1.953	1.971
2018-01-28 21:35:00	-99.9	100.0	1.908	2.298
2018-01-29 05:20:00	4.322	32.65	2.976	2.764
2018-01-29 08:35:00	81.556	59.086	2.982	2.972
2018-01-29 16:20:00	21.25	53.469	1.357	2.567
2018-01-29 20:40:00	12.777	55.604	1.719	2.204
2018-01-30 06:05:00	2.0	66.353	2.973	2.995
2018-01-30 07:40:00	4.104	75.429	2.993	2.994
2018-01-30 17:05:00	28.524	77.571	1.501	1.906
2018-01-30 21:20:00	30.323	97.161	1.501	2.2
2018-01-31 05:10:00	89.034	100.0	2.576	2.978
2018-01-31 08:25:00	100.0	100.0	2.651	2.81
2018-01-31 16:10:00	100.0	100.0	1.903	2.041
2018-01-31 20:25:00	99.5	77.951	1.506	1.387
2018-02-01 05:50:00	1.946	43.646	2.368	2.645
2018-02-01 07:25:00	72.0	-99.9	2.503	2.575
2018-02-01 07:30:00	5.167	67.922	2.503	2.575
2018-02-01 16:50:00	18.408	-99.9	0.388	0.525
2018-02-01 16:55:00	-99.9	35.96	0.388	0.525
2018-02-01 21:10:00	4.255	25.098	0.094	0.141
