year	month	hanle_pblh_avg	merak_pblh_avg	hanle_pblh_median	merak_pblh_median
1988	2	0.68130726	0.82725966	0.23480676	0.2418811
1988	3	0.7177114	0.82983166	0.27513927	0.34681398
1988	4	0.7166063	0.6579184	0.22548962	0.20722938
1988	5	1.4367217	1.4453328	0.98118997	1.1521777
1988	6	1.2448177	1.2900608	0.9689349	0.9783242
1988	7	0.96486557	1.2138975	0.7629493	0.9702459
1988	8	0.974747	1.1139896	0.81339645	0.90004975
1988	9	0.985695	1.0813423	0.6519823	0.602981
1988	10	0.99811107	0.7918215	0.3456478	0.222068
1988	11	0.7063697	0.6654301	0.031003661	0.022236329
1988	12	0.4100113	0.4039202	0.040278807	0.029719483
1989	1	0.5757473	0.7059203	0.13248548	0.11977124
1989	2	0.79793036	0.95939904	0.3103937	0.42759693
1989	3	0.60891056	0.6922253	0.24886659	0.3424347
1989	4	0.9616714	0.9481585	0.5486957	0.70829654
1989	5	1.0847534	1.1917309	0.84008896	1.100179
1989	6	1.2111013	1.2408055	1.0046089	1.0651871
1989	7	1.0081725	1.0641531	0.8366895	0.87377405
1989	8	0.8621256	0.84601086	0.6705327	0.6535767
1989	9	0.87113404	0.90846324	0.6026262	0.6081681
1989	10	0.9496256	0.9797026	0.3422484	0.37487537
1989	11	0.7063291	0.7028408	0.17231447	0.17729723
1989	12	0.39781988	0.32983783	0.045650877	0.03201538
1990	1	0.574608	0.78203255	0.13819335	0.21432984
1990	2	0.6008377	0.7474405	0.25218213	0.30357373
1990	3	0.6035276	0.6703367	0.24370435	0.2523828
1990	4	0.7348466	0.65501016	0.28231603	0.31764698
1990	5	1.0112295	1.0376023	0.8734126	0.8395901
1990	6	1.0918719	1.0165236	0.99915284	0.86246437
1990	7	1.0133408	1.2340314	0.7704618	1.0153143
1990	8	0.9175126	1.10826	0.7107394	0.8235611
1990	9	0.84367037	0.9557252	0.583866	0.65736073
1990	10	1.0084592	1.0309243	0.62105095	0.6355918
1990	11	0.7037651	0.7357315	0.06327808	0.04783179
1990	12	0.60218865	0.6626774	0.2065614	0.21139613
1991	1	0.27734885	0.33477738	0.057192504	0.06938818
1991	2	0.7782722	0.9573286	0.3573574	0.5628871
1991	3	0.4185453	0.717508	0.13819325	0.28278273
1991	4	0.69186157	0.55049044	0.29566246	0.34842956
1991	5	0.91248983	0.89739823	0.5447085	0.5329975
1991	6	1.3610988	1.4495664	1.0616033	1.105366
1991	7	1.2855192	1.5067022	0.9854289	1.2472465
1991	8	0.9797718	1.2289658	0.8392915	0.9795997
1991	9	1.0059788	1.2327541	0.7445247	0.936317
1991	10	1.0478796	1.1692898	0.53513956	0.6739849
1991	11	0.7526391	0.7775381	0.10256128	0.111097656
1991	12	0.47312477	0.45845968	0.046742067	0.052636355
1992	1	0.4888467	0.6076719	0.17407703	0.18835181
1992	2	0.42377892	0.5894678	0.098070554	0.15416785
1992	3	1.091699	1.3403327	0.7998823	1.3318135
1992	4	0.79332423	0.7367799	0.4768861	0.49860096
1992	5	1.3985198	1.3504677	1.102817	1.0057478
1992	6	1.3540184	1.2709712	1.2040892	1.079813
1992	7	1.0615954	1.0093207	0.9411931	0.802685
1992	8	0.8877638	1.1285802	0.7862003	0.91284746
1992	9	1.0491216	1.1995207	0.9147524	1.0083414
1992	10	1.0059167	1.1193895	0.45988855	0.6147157
1992	11	0.7259295	0.71224064	0.15636608	0.14226282
1992	12	0.41718602	0.4038434	0.032472536	0.04302734
1993	1	0.65153074	0.7262378	0.20076966	0.18898949
1993	2	0.5852634	0.6730921	0.17890356	0.1371609
1993	3	0.7438803	0.9602351	0.3299514	0.46390662
1993	4	0.5618258	0.5370929	0.15649194	0.227
1993	5	1.3998502	1.420063	0.9203344	1.0568112
1993	6	1.371226	1.4482008	1.071466	1.1210974
1993	7	0.90783256	0.9071063	0.757871	0.68635744
1993	8	1.2129664	1.3938755	0.8979647	1.0861056
1993	9	0.9426862	0.99873644	0.6800178	0.707276
1993	10	0.9953221	1.1050335	0.3177383	0.40663576
1993	11	0.5953705	0.6866937	0.18226111	0.239245
1993	12	0.42048773	0.392794	0.02768799	0.032738283
1994	1	0.5697382	0.6656663	0.15430957	0.15752673
1994	2	0.7021428	0.908989	0.23354773	0.32096338
1994	3	0.45403174	0.59905666	0.14830798	0.21896423
1994	4	0.79577243	0.91698545	0.39378673	0.6083381
1994	5	1.0382696	1.0681353	0.7012962	0.7964775
1994	6	1.2075584	1.2744261	0.965955	1.1501794
1994	7	0.8509966	1.0314013	0.71040356	0.8235611
1994	8	0.7589835	0.8631406	0.6544165	0.65714806
1994	9	0.96904474	1.0649707	0.7355013	0.7951169
1994	10	1.0493214	1.1206466	0.5364407	0.6994529
1994	11	0.68296754	0.63532674	0.052114137	0.042389527
1994	12	0.6493565	0.7542018	0.18801099	0.23052894
1995	1	0.392571	0.40225413	0.05244995	0.032483153
1995	2	0.58942395	0.6750536	0.18524097	0.20472094
1995	3	0.7082151	0.7546757	0.33821934	0.41492677
1995	4	0.875332	0.8143535	0.53652453	0.50782704
1995	5	1.1987314	1.1585779	1.1326153	0.9761133
1995	6	1.3360944	1.3243053	1.1162055	1.1715231
1995	7	1.0394323	1.2542485	0.9305749	0.9218187
1995	8	0.80749434	0.8147514	0.7015481	0.6841466
1995	9	0.9008616	0.9288414	0.6974352	0.5962633
1995	10	1.0481243	1.1053469	0.53698623	0.6594864
1995	11	0.7939849	0.842184	0.10151209	0.08873364
1995	12	0.63788396	0.6447457	0.13319898	0.12193958
1996	1	0.6573794	0.7593838	0.1479303	0.15718652
1996	2	0.5689126	0.6760045	0.13685034	0.12610632
1996	3	0.85620284	1.0523754	0.32554457	0.50548863
1996	4	0.65422976	0.5980075	0.25919092	0.26279968
1996	5	1.3345605	1.3140597	1.1690028	1.0085115
1996	6	1.1053	1.204281	0.8369832	0.9096162
1996	7	1.0548831	1.1474198	0.8473077	0.91280496
1996	8	0.8714073	0.9320629	0.7037724	0.72275233
1996	9	0.87962794	1.0778524	0.6008637	0.7512815
1996	10	0.95926976	1.01524	0.6144197	0.6555749
