year	month	hanle_pblh	merak_pblh
1994	9	0.96904474	1.0649707
1994	10	1.0493214	1.1206466
1994	11	0.68296754	0.63532674
1994	12	0.6493565	0.7542018
1995	1	0.392571	0.40225413
1995	2	0.58942395	0.6750536
1995	3	0.7082151	0.7546757
1995	4	0.875332	0.8143535
1995	5	1.1987314	1.1585779
1995	6	1.3360944	1.3243053
1995	7	1.0394323	1.2542485
1995	8	0.80749434	0.8147514
1995	9	0.9008616	0.9288414
1995	10	1.0481243	1.1053469
1995	11	0.7939849	0.842184
1995	12	0.63788396	0.6447457
1996	1	0.6573794	0.7593838
1996	2	0.5689126	0.6760045
1996	3	0.85620284	1.0523754
1996	4	0.65422976	0.5980075
1996	5	1.3345605	1.3140597
1996	6	1.1053	1.204281
1996	7	1.0548831	1.1474198
1996	8	0.8714073	0.9320629
1996	9	0.87962794	1.0778524
1996	10	0.95926976	1.01524
1996	11	0.7840595	0.8661432
1996	12	0.48961467	0.45945302
1997	1	0.39598608	0.39446113
1997	2	0.5533505	0.6230302
1997	3	0.73631126	0.8783282
1997	4	0.76961714	0.6634116
1997	5	1.2762227	1.1217853
1997	6	0.9168289	0.88906753
1997	7	0.94945675	1.1669724
1997	8	0.88188434	0.9433094
1997	9	0.9177676	0.97444415
1997	10	0.9335378	0.89121747
1997	11	0.8231809	0.79462194
1997	12	0.37336832	0.4174678
1998	1	0.4414863	0.5621876
1998	2	0.5807438	0.67586786
1998	3	0.63385624	0.7945896
1998	4	0.83509076	0.6655286
1998	5	1.1640098	1.1069326
1998	6	1.0195163	1.029485
1998	7	1.2495657	1.4201626
1998	8	1.0751309	1.28728
1998	9	0.88254553	0.8806994
1998	10	0.63529235	0.5418829
1998	11	0.3574217	0.27677578
1998	12	0.39863864	0.35758725
1999	1	0.5689354	0.6692686
1999	2	0.58581007	0.62896365
1999	3	0.98069984	1.127782
1999	4	0.99478525	0.97057825
1999	5	1.046761	1.099499
1999	6	1.2292265	1.2565485
1999	7	1.127246	1.1401895
1999	8	0.82846415	0.85220164
1999	9	0.76166326	0.8669596
1999	10	0.9642709	1.0083069
1999	11	0.7825773	0.8574527
1999	12	0.43052113	0.3730046
2000	1	0.44250336	0.5132793
2000	2	0.74529064	0.80200034
2000	3	0.81360257	0.9407049
2000	4	1.0303515	0.84081525
2000	5	1.1089108	1.1081095
2000	6	1.073581	1.1995873
2000	7	0.90901786	1.0451626
2000	8	0.9182508	0.967675
2000	9	1.0292522	1.1130075
2000	10	1.0015326	1.0782338
2000	11	0.84548974	0.91025674
2000	12	0.39788622	0.3740521
2001	1	0.56090844	0.6895967
