year	month	hanle_pblh_era5	merak_pblh_era5
1994	8	0.59750646	0.59750646
1994	9	0.9560245	0.9560245
1994	10	1.115017	1.115017
1994	11	0.76037055	0.76037055
1994	12	0.45509773	0.45509773
1995	1	0.11784436	0.11784436
1995	2	0.1929597	0.1929597
1995	3	0.31224436	0.31224436
1995	4	0.52861184	0.52861184
1995	5	0.91761786	0.91761786
1995	6	1.108406	1.108406
1995	7	1.2110327	1.2110327
1995	8	0.60740525	0.60740525
1995	9	0.9405183	0.9405183
1995	10	0.9924625	0.9924625
1995	11	0.6041532	0.6041532
1995	12	0.39155522	0.39155522
1996	1	0.33662188	0.33662188
1996	2	0.22413051	0.22413051
1996	3	0.30009764	0.30009764
1996	4	0.18918662	0.18918662
1996	5	0.57468307	0.57468307
1996	6	0.83731437	0.83731437
1996	7	1.1490957	1.1490957
1996	8	0.68409485	0.68409485
1996	9	1.0318575	1.0318575
1996	10	0.90977573	0.90977573
1996	11	0.813277	0.813277
1996	12	0.420394	0.420394
1997	1	0.35491487	0.35491487
1997	2	0.26420042	0.26420042
1997	3	0.41414872	0.41414872
1997	4	0.535528	0.535528
1997	5	0.9834683	0.9834683
1997	6	1.2299001	1.2299001
1997	7	1.1006619	1.1006619
1997	8	0.91581285	0.91581285
1997	9	1.081222	1.081222
1997	10	0.33477652	0.33477652
1997	11	0.21748836	0.21748836
1997	12	0.097577974	0.097577974
1998	1	0.1497618	0.1497618
1998	2	0.24229215	0.24229215
1998	3	0.20365433	0.20365433
1998	4	0.2902529	0.2902529
1998	5	0.77259	0.77259
1998	6	0.70534694	0.70534694
1998	7	1.124845	1.124845
1998	8	1.0998288	1.0998288
1998	9	0.9128191	0.9128191
1998	10	0.5528183	0.5528183
1998	11	0.06803433	0.06803433
1998	12	0.13227926	0.13227926
1999	1	0.18184097	0.18184097
1999	2	0.19350971	0.19350971
1999	3	0.28024557	0.28024557
1999	4	0.35099122	0.35099122
1999	5	0.71715504	0.71715504
1999	6	1.0457188	1.0457188
1999	7	1.0716349	1.0716349
1999	8	0.73244774	0.73244774
1999	9	0.83075064	0.83075064
1999	10	0.98511416	0.98511416
1999	11	0.7737408	0.7737408
1999	12	0.61156446	0.61156446
2000	1	0.4641113	0.4641113
2000	2	0.33451498	0.33451498
2000	3	0.402424	0.402424
2000	4	0.62089485	0.62089485
2000	5	1.2679075	1.2679075
2000	6	0.77310634	0.77310634
2000	7	0.7250262	0.7250262
2000	8	0.84881616	0.84881616
2000	9	1.119604	1.119604
2000	10	1.15933	1.15933
2000	11	0.93335044	0.93335044
2000	12	0.3911419	0.3911419
2001	1	0.53162116	0.53162116
2001	2	0.5729172	0.5729172
2001	3	0.54923135	0.54923135
2001	4	0.5972909	0.5972909
2001	5	1.3002105	1.3002105
