date	han_pblh_avg	mer_pblh_avg	han_pblh_median	mer_pblh_median
1980-01-01	1.368752	1.3710697	1.0455803	1.1993061
1980-01-02	0.801837	0.83246493	0.82369107	0.8142171
1980-01-03	0.35163832	0.49090648	0.23168802	0.46419507
1980-01-04	0.1710996	0.34010422	0.055334896	0.25081047
1980-01-05	0.9857557	1.118284	0.513167	0.98483783
1980-01-06	0.4797146	1.2448796	0.33884883	0.8507086
1980-01-07	0.44697118	1.1016116	0.36656076	1.0606809
1980-01-08	0.90850097	0.9088653	1.0509882	1.0577016
1980-01-09	1.0756991	1.2081084	1.0102996	1.1087525
1980-01-10	0.44994378	0.8431391	0.38136938	0.7795019
1980-01-11	0.4022101	0.38405767	0.32867593	0.36828333
1980-01-12	0.7692527	0.67806536	0.80041707	0.7549948
1980-01-13	0.36517292	0.36497226	0.40964037	0.26225993
1980-01-14	0.41193962	0.46247798	0.24978095	0.30292958
1980-01-15	0.8468485	1.0571976	0.77058977	1.1064832
1980-01-16	1.6259382	1.7133194	1.4372262	1.5807295
1980-01-17	0.6157146	0.6674662	0.4054748	0.47968733
1980-01-18	0.8530734	0.8290745	0.88084626	0.7029958
1980-01-19	0.66893023	0.94297934	0.5630959	0.93630886
1980-01-20	0.47226128	0.4748846	0.5577389	0.52761704
1980-01-21	0.6440215	0.59450513	0.69537544	0.5378206
1980-01-22	0.33647287	0.50317293	0.16655692	0.4291647
1980-01-23	0.30983815	0.78303915	0.2840498	0.7680794
1980-01-24	0.7449194	1.1596817	0.91164756	1.1103663
1980-01-25	1.3849068	1.5748994	1.3870124	1.5423195
1980-01-26	1.6594168	1.570046	1.6323122	1.2454526
1980-01-27	1.2642059	1.3502883	0.958107	1.1262169
1980-01-28	0.56066316	0.94122976	0.48238504	0.8762326
1980-01-29	0.2811987	0.4910278	0.13952623	0.40759888
1980-01-30	0.06751929	0.24558635	0.0569057	0.18060055
1980-01-31	0.109152	0.18089138	0.05538183	0.059822112
1980-02-01	0.35036746	0.2976235	0.34987384	0.20380437
1980-02-02	1.2118219	1.1284287	1.101572	1.2341926
1980-02-03	1.1134921	1.4672828	1.072952	1.3479735
1980-02-04	1.7641419	1.9231628	1.7359128	1.8781753
1980-02-05	1.6494131	1.7945422	1.5793005	1.8317893
1980-02-06	1.9496664	1.7344227	1.8243587	1.7924945
1980-02-07	1.5034174	1.702584	1.5349511	1.7330662
1980-02-08	1.2355709	1.595972	1.143527	1.4822465
1980-02-09	1.0026399	1.1346539	0.9589409	1.0010096
1980-02-10	1.3093827	1.6206098	1.2646077	1.9482982
1980-02-11	0.6171813	0.9287908	0.49046913	0.5687226
1980-02-12	0.08842717	0.39455083	0.056368034	0.3575529
1980-02-13	0.3444912	0.50776744	0.27434346	0.4888993
1980-02-14	0.933714	1.103132	0.6709661	1.0966365
1980-02-15	0.79574883	0.5450586	0.780018	0.48611784
1980-02-16	0.2903753	0.3100199	0.16458163	0.29874292
1980-02-17	0.48012602	0.53952426	0.4307909	0.51756585
1980-02-18	0.88647485	0.7289284	0.6798446	0.57116497
