year	month	han_pblh_avg	mer_pblh_avg	han_pblh_median	mer_pblh_median
1988	1	1.2984006	1.3669647	1.0815141	1.2513423
1988	2	1.350535	1.5449386	1.2387941	1.4619803
1988	3	1.416758	1.4547088	1.2423182	1.2962265
1988	4	1.6105584	1.5861677	1.5185856	1.4610059
1988	5	1.8025739	1.8151857	1.6614741	1.7724189
1988	6	1.7727678	1.7376497	1.6764815	1.6552275
1988	7	1.4319222	1.5001243	1.2759068	1.3041645
1988	8	1.2771331	1.4557259	1.0427465	1.2001451
1988	9	1.4210848	1.5469604	1.3352381	1.4884176
1988	10	1.3494549	1.5322826	1.1287736	1.4500748
1988	11	1.2209295	1.1945575	1.0355017	1.0088825
1988	12	1.0099709	1.1108418	0.7675028	0.93866396
1989	1	1.4628868	1.6012242	1.4400728	1.6911614
1989	2	1.7498465	1.8152494	1.775516	1.9117178
1989	3	1.4030946	1.4632246	1.2248261	1.3478636
1989	4	1.7634205	1.8904625	1.7408755	1.8971381
1989	5	1.6791534	1.7947415	1.5708109	1.6629603
1989	6	1.6058389	1.7533494	1.5578376	1.7135874
1989	7	1.4493084	1.5833759	1.3720272	1.4749131
1989	8	1.3516303	1.6267772	1.1945773	1.5246662
1989	9	1.3386505	1.4861175	1.224179	1.2268977
1989	10	1.4464018	1.5263511	1.2718047	1.368571
1989	11	1.1615909	1.2730294	0.9437276	1.1375263
1989	12	0.974834	1.0511923	0.8342002	0.9259728
1990	1	1.4164755	1.65125	1.3118694	1.6446142
1990	2	1.3581077	1.3949592	1.2051499	1.3852842
1990	3	1.3782727	1.3604981	1.3256016	1.2643652
1990	4	1.5689137	1.5650666	1.3844624	1.4717352
1990	5	1.6578681	1.6565219	1.5452528	1.5042207
1990	6	1.6102668	1.7097384	1.5484914	1.5733423
1990	7	1.530936	1.6197993	1.4505798	1.5491427
1990	8	1.499443	1.5643731	1.3224833	1.5117879
1990	9	1.4743652	1.5780883	1.4674966	1.5120983
1990	10	1.4963621	1.5773605	1.3752792	1.4818882
1990	11	1.1565846	1.2424761	0.89011735	1.0261601
1990	12	1.2819499	1.4642805	1.2311013	1.4928501
1991	1	1.325942	1.4485625	1.1635387	1.327807
1991	2	1.5105692	1.6895387	1.4299264	1.6780916
1991	3	1.4495623	1.5808448	1.3590372	1.4632263
1991	4	1.6803604	1.7627276	1.6136992	1.6827896
1991	5	1.5453249	1.6404362	1.4263945	1.5082128
1991	6	1.6932963	1.7588629	1.6810963	1.7809899
1991	7	1.5176054	1.5859069	1.4384031	1.519357
1991	8	1.4921275	1.5943894	1.3199263	1.4811785
1991	9	1.4968865	1.5648903	1.4655883	1.3811605
1991	10	1.2472303	1.4567503	0.9804795	1.332073
1991	11	1.2443448	1.4207265	1.0043664	1.3622732
1991	12	1.1391978	1.3035622	0.98281777	1.225761
1992	1	1.3933932	1.6072019	1.3275942	1.543457
1992	2	1.5421432	1.561531	1.5215105	1.536232
1992	3	1.7426431	1.822765	1.6789896	1.8483036
1992	4	1.563129	1.5420855	1.440605	1.4329364
