year	month	han_pblh	mer_pblh
1993	11	1.2580944	1.3824818
1993	12	1.1294569	1.3461996
1994	1	1.3500181	1.5656096
1994	2	1.6345156	1.7326612
1994	3	1.5423092	1.6397989
1994	4	1.6501718	1.78133
1994	5	1.527781	1.5895146
1994	6	1.7372037	1.7459472
1994	7	1.4959456	1.6247947
1994	8	1.401742	1.5587283
1994	9	1.0817455	1.4773744
1994	10	1.2855295	1.5296682
1994	11	1.3348255	1.2599292
1994	12	1.428766	1.4212466
1995	1	1.2363507	1.2382572
1995	2	1.3343209	1.3327287
1995	3	1.3660228	1.4331634
1995	4	1.4649023	1.5913593
1995	5	1.6204562	1.7323105
1995	6	1.4768504	1.6315348
1995	7	1.621407	1.6498562
1995	8	1.3250661	1.4767785
1995	9	1.3383632	1.5052346
1995	10	1.3667165	1.5050877
1995	11	1.359711	1.4392844
1995	12	1.3489385	1.4202873
1996	1	1.4750777	1.598608
1996	2	1.27174	1.3703803
1996	3	1.5257454	1.6276374
1996	4	1.5174384	1.5289893
1996	5	1.4913591	1.6695197
1996	6	1.6148692	1.6104314
1996	7	1.5304166	1.6480905
1996	8	1.3354232	1.4781588
1996	9	1.6111239	1.623543
1996	10	1.406666	1.5042695
1996	11	1.4319395	1.64485
1996	12	1.1402731	1.225024
1997	1	1.1914073	1.2399979
1997	2	1.6714109	1.7612967
1997	3	1.5490229	1.6550455
1997	4	1.3819685	1.5509913
1997	5	1.5617846	1.7045705
1997	6	1.5826808	1.6646416
1997	7	1.6366547	1.6989992
1997	8	1.4679316	1.5862695
1997	9	1.4518907	1.5117971
1997	10	1.3593421	1.455315
1997	11	1.2024075	1.3646216
1997	12	0.9414463	1.2458079
1998	1	1.161236	1.4808694
1998	2	1.3702862	1.4158843
1998	3	1.4096948	1.5242225
1998	4	1.4593204	1.5521071
1998	5	1.5002275	1.616387
1998	6	1.3805507	1.6532365
1998	7	1.5210167	1.5784235
1998	8	1.3428969	1.5208433
1998	9	1.3261808	1.4944333
1998	10	1.0743935	1.4450175
1998	11	1.0032039	1.1912869
1998	12	1.1378357	1.2629367
1999	1	1.3334748	1.419391
1999	2	1.3058361	1.3554404
1999	3	1.6892034	1.7664998
1999	4	1.6665657	1.8563802
1999	5	1.6092545	1.7086779
